Person 1 has final_x = 21, final_y = 69, final_status = infected and was infected 8 times. 
Person 2 has final_x = 104, final_y = 56, final_status = susceptible and was infected 4 times. 
Person 3 has final_x = 6, final_y = 94, final_status = immune and was infected 5 times. 
Person 4 has final_x = 69, final_y = 75, final_status = infected and was infected 10 times. 
Person 5 has final_x = 79, final_y = 102, final_status = infected and was infected 5 times. 
Person 6 has final_x = 51, final_y = 92, final_status = susceptible and was infected 0 times. 
Person 7 has final_x = 4, final_y = 13, final_status = infected and was infected 4 times. 
Person 8 has final_x = 83, final_y = 17, final_status = immune and was infected 4 times. 
Person 9 has final_x = 69, final_y = 46, final_status = susceptible and was infected 5 times. 
Person 10 has final_x = 6, final_y = 35, final_status = susceptible and was infected 5 times. 
Person 11 has final_x = 36, final_y = 17, final_status = immune and was infected 3 times. 
Person 12 has final_x = 76, final_y = 43, final_status = susceptible and was infected 3 times. 
Person 13 has final_x = 29, final_y = 110, final_status = susceptible and was infected 6 times. 
Person 14 has final_x = 68, final_y = 7, final_status = susceptible and was infected 6 times. 
Person 15 has final_x = 47, final_y = 84, final_status = susceptible and was infected 5 times. 
Person 16 has final_x = 47, final_y = 69, final_status = susceptible and was infected 7 times. 
Person 17 has final_x = 69, final_y = 66, final_status = susceptible and was infected 7 times. 
Person 18 has final_x = 29, final_y = 32, final_status = susceptible and was infected 4 times. 
Person 19 has final_x = 56, final_y = 43, final_status = infected and was infected 7 times. 
Person 20 has final_x = 100, final_y = 57, final_status = susceptible and was infected 3 times. 
Person 21 has final_x = 87, final_y = 106, final_status = susceptible and was infected 3 times. 
Person 22 has final_x = 75, final_y = 95, final_status = susceptible and was infected 3 times. 
Person 23 has final_x = 66, final_y = 20, final_status = susceptible and was infected 1 times. 
Person 24 has final_x = 80, final_y = 77, final_status = immune and was infected 5 times. 
Person 25 has final_x = 0, final_y = 68, final_status = immune and was infected 12 times. 
Person 26 has final_x = 93, final_y = 93, final_status = immune and was infected 4 times. 
Person 27 has final_x = 62, final_y = 110, final_status = susceptible and was infected 5 times. 
Person 28 has final_x = 101, final_y = 42, final_status = infected and was infected 6 times. 
Person 29 has final_x = 35, final_y = 100, final_status = susceptible and was infected 3 times. 
Person 30 has final_x = 32, final_y = 37, final_status = infected and was infected 6 times. 
Person 31 has final_x = 30, final_y = 3, final_status = infected and was infected 7 times. 
Person 32 has final_x = 49, final_y = 106, final_status = immune and was infected 7 times. 
Person 33 has final_x = 11, final_y = 46, final_status = susceptible and was infected 4 times. 
Person 34 has final_x = 67, final_y = 68, final_status = infected and was infected 6 times. 
Person 35 has final_x = 38, final_y = 60, final_status = susceptible and was infected 6 times. 
Person 36 has final_x = 58, final_y = 78, final_status = immune and was infected 3 times. 
Person 37 has final_x = 70, final_y = 27, final_status = immune and was infected 7 times. 
Person 38 has final_x = 98, final_y = 33, final_status = infected and was infected 6 times. 
Person 39 has final_x = 46, final_y = 94, final_status = susceptible and was infected 3 times. 
Person 40 has final_x = 48, final_y = 93, final_status = infected and was infected 2 times. 
Person 41 has final_x = 107, final_y = 3, final_status = immune and was infected 5 times. 
Person 42 has final_x = 100, final_y = 76, final_status = immune and was infected 4 times. 
Person 43 has final_x = 89, final_y = 52, final_status = susceptible and was infected 6 times. 
Person 44 has final_x = 13, final_y = 24, final_status = susceptible and was infected 8 times. 
Person 45 has final_x = 68, final_y = 47, final_status = susceptible and was infected 2 times. 
Person 46 has final_x = 49, final_y = 87, final_status = susceptible and was infected 7 times. 
Person 47 has final_x = 1, final_y = 83, final_status = infected and was infected 7 times. 
Person 48 has final_x = 53, final_y = 6, final_status = susceptible and was infected 8 times. 
Person 49 has final_x = 18, final_y = 31, final_status = infected and was infected 8 times. 
Person 50 has final_x = 29, final_y = 57, final_status = susceptible and was infected 4 times. 
Person 51 has final_x = 76, final_y = 95, final_status = infected and was infected 6 times. 
Person 52 has final_x = 84, final_y = 98, final_status = infected and was infected 7 times. 
Person 53 has final_x = 5, final_y = 14, final_status = immune and was infected 2 times. 
Person 54 has final_x = 49, final_y = 77, final_status = infected and was infected 6 times. 
Person 55 has final_x = 30, final_y = 71, final_status = immune and was infected 8 times. 
Person 56 has final_x = 51, final_y = 83, final_status = infected and was infected 7 times. 
Person 57 has final_x = 24, final_y = 14, final_status = susceptible and was infected 4 times. 
Person 58 has final_x = 36, final_y = 61, final_status = susceptible and was infected 5 times. 
Person 59 has final_x = 38, final_y = 68, final_status = immune and was infected 3 times. 
Person 60 has final_x = 93, final_y = 72, final_status = susceptible and was infected 4 times. 
Person 61 has final_x = 34, final_y = 49, final_status = susceptible and was infected 9 times. 
Person 62 has final_x = 72, final_y = 0, final_status = susceptible and was infected 4 times. 
Person 63 has final_x = 37, final_y = 101, final_status = immune and was infected 4 times. 
Person 64 has final_x = 41, final_y = 61, final_status = susceptible and was infected 7 times. 
Person 65 has final_x = 36, final_y = 101, final_status = infected and was infected 11 times. 
Person 66 has final_x = 39, final_y = 89, final_status = immune and was infected 7 times. 
Person 67 has final_x = 23, final_y = 55, final_status = susceptible and was infected 6 times. 
Person 68 has final_x = 53, final_y = 47, final_status = infected and was infected 13 times. 
Person 69 has final_x = 25, final_y = 17, final_status = susceptible and was infected 6 times. 
Person 70 has final_x = 59, final_y = 25, final_status = infected and was infected 8 times. 
Person 71 has final_x = 54, final_y = 21, final_status = susceptible and was infected 8 times. 
Person 72 has final_x = 1, final_y = 20, final_status = immune and was infected 3 times. 
Person 73 has final_x = 77, final_y = 66, final_status = susceptible and was infected 5 times. 
Person 74 has final_x = 70, final_y = 89, final_status = susceptible and was infected 6 times. 
Person 75 has final_x = 18, final_y = 79, final_status = infected and was infected 4 times. 
Person 76 has final_x = 99, final_y = 68, final_status = immune and was infected 2 times. 
Person 77 has final_x = 43, final_y = 81, final_status = immune and was infected 6 times. 
Person 78 has final_x = 65, final_y = 99, final_status = immune and was infected 3 times. 
Person 79 has final_x = 33, final_y = 85, final_status = infected and was infected 5 times. 
Person 80 has final_x = 3, final_y = 101, final_status = susceptible and was infected 3 times. 
Person 81 has final_x = 74, final_y = 79, final_status = immune and was infected 5 times. 
Person 82 has final_x = 6, final_y = 51, final_status = susceptible and was infected 3 times. 
Person 83 has final_x = 22, final_y = 10, final_status = susceptible and was infected 7 times. 
Person 84 has final_x = 91, final_y = 13, final_status = immune and was infected 4 times. 
Person 85 has final_x = 1, final_y = 93, final_status = susceptible and was infected 5 times. 
Person 86 has final_x = 34, final_y = 62, final_status = infected and was infected 4 times. 
Person 87 has final_x = 26, final_y = 58, final_status = susceptible and was infected 4 times. 
Person 88 has final_x = 33, final_y = 70, final_status = infected and was infected 8 times. 
Person 89 has final_x = 51, final_y = 65, final_status = immune and was infected 2 times. 
Person 90 has final_x = 59, final_y = 83, final_status = immune and was infected 5 times. 
Person 91 has final_x = 102, final_y = 97, final_status = immune and was infected 2 times. 
Person 92 has final_x = 94, final_y = 80, final_status = susceptible and was infected 4 times. 
Person 93 has final_x = 58, final_y = 17, final_status = immune and was infected 5 times. 
Person 94 has final_x = 50, final_y = 100, final_status = immune and was infected 4 times. 
Person 95 has final_x = 32, final_y = 15, final_status = susceptible and was infected 5 times. 
Person 96 has final_x = 87, final_y = 84, final_status = immune and was infected 2 times. 
Person 97 has final_x = 65, final_y = 106, final_status = susceptible and was infected 3 times. 
Person 98 has final_x = 24, final_y = 68, final_status = immune and was infected 12 times. 
Person 99 has final_x = 50, final_y = 60, final_status = immune and was infected 2 times. 
Person 100 has final_x = 82, final_y = 7, final_status = immune and was infected 12 times. 
Person 101 has final_x = 65, final_y = 16, final_status = immune and was infected 4 times. 
Person 102 has final_x = 16, final_y = 31, final_status = immune and was infected 7 times. 
Person 103 has final_x = 92, final_y = 6, final_status = immune and was infected 5 times. 
Person 104 has final_x = 92, final_y = 90, final_status = susceptible and was infected 1 times. 
Person 105 has final_x = 21, final_y = 87, final_status = susceptible and was infected 5 times. 
Person 106 has final_x = 106, final_y = 30, final_status = susceptible and was infected 4 times. 
Person 107 has final_x = 68, final_y = 11, final_status = susceptible and was infected 4 times. 
Person 108 has final_x = 23, final_y = 103, final_status = immune and was infected 4 times. 
Person 109 has final_x = 13, final_y = 24, final_status = susceptible and was infected 8 times. 
Person 110 has final_x = 58, final_y = 35, final_status = susceptible and was infected 3 times. 
Person 111 has final_x = 84, final_y = 108, final_status = susceptible and was infected 5 times. 
Person 112 has final_x = 48, final_y = 54, final_status = immune and was infected 4 times. 
Person 113 has final_x = 17, final_y = 28, final_status = susceptible and was infected 2 times. 
Person 114 has final_x = 0, final_y = 14, final_status = susceptible and was infected 4 times. 
Person 115 has final_x = 9, final_y = 21, final_status = susceptible and was infected 6 times. 
Person 116 has final_x = 91, final_y = 7, final_status = susceptible and was infected 2 times. 
Person 117 has final_x = 59, final_y = 39, final_status = immune and was infected 3 times. 
Person 118 has final_x = 24, final_y = 59, final_status = immune and was infected 5 times. 
Person 119 has final_x = 78, final_y = 96, final_status = susceptible and was infected 6 times. 
Person 120 has final_x = 68, final_y = 84, final_status = immune and was infected 5 times. 
Person 121 has final_x = 83, final_y = 17, final_status = infected and was infected 9 times. 
Person 122 has final_x = 76, final_y = 91, final_status = susceptible and was infected 4 times. 
Person 123 has final_x = 59, final_y = 82, final_status = infected and was infected 7 times. 
Person 124 has final_x = 97, final_y = 62, final_status = immune and was infected 3 times. 
Person 125 has final_x = 61, final_y = 17, final_status = susceptible and was infected 6 times. 
Person 126 has final_x = 43, final_y = 98, final_status = immune and was infected 9 times. 
Person 127 has final_x = 62, final_y = 101, final_status = infected and was infected 5 times. 
Person 128 has final_x = 8, final_y = 49, final_status = susceptible and was infected 6 times. 
Person 129 has final_x = 33, final_y = 1, final_status = infected and was infected 7 times. 
Person 130 has final_x = 23, final_y = 104, final_status = infected and was infected 3 times. 
Person 131 has final_x = 71, final_y = 82, final_status = susceptible and was infected 4 times. 
Person 132 has final_x = 38, final_y = 48, final_status = susceptible and was infected 4 times. 
Person 133 has final_x = 10, final_y = 24, final_status = susceptible and was infected 3 times. 
Person 134 has final_x = 22, final_y = 68, final_status = immune and was infected 12 times. 
Person 135 has final_x = 104, final_y = 92, final_status = susceptible and was infected 2 times. 
Person 136 has final_x = 79, final_y = 107, final_status = immune and was infected 5 times. 
Person 137 has final_x = 58, final_y = 75, final_status = infected and was infected 9 times. 
Person 138 has final_x = 73, final_y = 64, final_status = susceptible and was infected 3 times. 
Person 139 has final_x = 4, final_y = 77, final_status = immune and was infected 6 times. 
Person 140 has final_x = 70, final_y = 88, final_status = susceptible and was infected 4 times. 
Person 141 has final_x = 65, final_y = 64, final_status = susceptible and was infected 7 times. 
Person 142 has final_x = 61, final_y = 33, final_status = susceptible and was infected 1 times. 
Person 143 has final_x = 16, final_y = 10, final_status = susceptible and was infected 4 times. 
Person 144 has final_x = 80, final_y = 2, final_status = immune and was infected 7 times. 
Person 145 has final_x = 34, final_y = 63, final_status = susceptible and was infected 4 times. 
Person 146 has final_x = 47, final_y = 65, final_status = susceptible and was infected 3 times. 
Person 147 has final_x = 67, final_y = 95, final_status = susceptible and was infected 7 times. 
Person 148 has final_x = 62, final_y = 17, final_status = susceptible and was infected 3 times. 
Person 149 has final_x = 68, final_y = 51, final_status = susceptible and was infected 2 times. 
Person 150 has final_x = 68, final_y = 12, final_status = infected and was infected 3 times. 
Person 151 has final_x = 63, final_y = 41, final_status = susceptible and was infected 7 times. 
Person 152 has final_x = 82, final_y = 42, final_status = susceptible and was infected 3 times. 
Person 153 has final_x = 81, final_y = 46, final_status = susceptible and was infected 1 times. 
Person 154 has final_x = 31, final_y = 25, final_status = susceptible and was infected 3 times. 
Person 155 has final_x = 45, final_y = 54, final_status = susceptible and was infected 1 times. 
Person 156 has final_x = 62, final_y = 82, final_status = immune and was infected 8 times. 
Person 157 has final_x = 44, final_y = 96, final_status = infected and was infected 5 times. 
Person 158 has final_x = 97, final_y = 83, final_status = immune and was infected 4 times. 
Person 159 has final_x = 95, final_y = 70, final_status = susceptible and was infected 0 times. 
